Cliente [cód];Venda anual;Últim venda;Família
A. B. GLASENAPP  [54718];67.2;13/05/2019 00:00;PSeI
A. CASSOL & CIA LTDA.   ME [41675];2;03/09/2014 00:00;
A. CASSOL & CIA LTDA.   ME [41675];7;26/01/2015 00:00;_ASD
A. CASSOL & CIA LTDA.   ME [41675];18.5;26/01/2015 00:00;ELET
A. CASSOL & CIA LTDA.   ME [41675];255.9;14/05/2015 00:00;IATD
A. GRINGS S.A. [55727];108;11/11/2020 00:00;IATD
A. MUNCHEN FILIAL [35835];9.730.999.999.999.990;26/02/2013 00:00;IATD
A. P. OLIVEIRA ENGENHARIA LTDA [64114];380;16/08/2023 00:00;IATD
A. R. JARDIM LTDA [46106];1734;22/01/2016 00:00;IATD
A.C. ALUMINIOS E COMPONENT PARA MOVEIS LTDA [38198];5.429.200.000.000.000;21/10/2024 00:00;_ASD
A.C. ALUMINIOS E COMPONENT PARA MOVEIS LTDA [38198];90.3;24/10/2016 00:00;_EVA
A.C. ALUMINIOS E COMPONENT PARA MOVEIS LTDA [38198];480;24/10/2016 00:00;IATD
A.C. ALUMINIOS E COMPONENT PARA MOVEIS LTDA [38198];378;24/10/2016 00:00;PSeI
A.D. ARTEFATOS DE BORRACHAS LTDA  [66833];1758;03/06/2025 00:00;IATD
A.F DIAS ALMEIDA - ME [49484];100;17/04/2017 00:00;_OUT
A.F DIAS ALMEIDA - ME [49484];31.8;17/04/2017 00:00;FELT
A.F DIAS ALMEIDA - ME [49484];55;17/04/2017 00:00;PSeI
A.F. DE ALBUQUERQUE - ME [47664];202.31;15/08/2025 00:00;_OUT
A.F. DE ALBUQUERQUE - ME [47664];69;06/02/2020 00:00;ELET
A.F. DE ALBUQUERQUE - ME [47664];44.44;24/07/2024 00:00;IATD
A.F. DE ALBUQUERQUE - ME [47664];450.76;04/12/2024 00:00;PAPE
A.F. DE ALBUQUERQUE - ME [47664];1111.6;18/09/2024 00:00;PSeI
A.F. DE ALBUQUERQUE - ME [47664];372.8;24/07/2024 00:00;SATW
A.G. ENTULHOS LTDA - ME [43898];400;29/05/2015 00:00;_ASD
A.G. ENTULHOS LTDA - ME [43898];300;04/05/2015 00:00;REFL
A.GOMES ALUGUEL DE MAQUINAS E EQUIPAMENTOS LTDA [66121];13;15/10/2024 00:00;_ASD
A.MOVIDROS COMERCIO  BENEFICIAMENTO DE VIDROS LTDA [27738];8.538.199.999.999.990;14/11/2013 00:00;IATD
